sample_idx,video_id,gloss,label,split
410,36930,mother,25,train
411,36931,mother,25,train
412,36932,mother,25,train
413,36933,mother,25,train
414,36936,mother,25,train
415,36937,mother,25,train
416,36946,mother,25,train
417,37881,need,90,train
418,37883,need,90,train
419,37884,need,90,train
420,37886,need,90,train
421,37894,need,90,train
422,38524,no,13,train
423,38527,no,13,train
424,38529,no,13,train
425,38530,no,13,train
426,38532,no,13,train
427,38534,no,13,train
428,38544,no,13,train
429,38990,now,26,train
430,38995,now,26,train
431,38997,now,26,train
432,38999,now,26,train
433,39006,now,26,train
434,40115,orange,27,train
435,40116,orange,27,train
436,40117,orange,27,train
437,40119,orange,27,train
438,40121,orange,27,train
439,40129,orange,27,train
440,40130,orange,27,train
441,40834,paint,91,train
442,40836,paint,91,train
443,40837,paint,91,train
444,40841,paint,91,train
445,40847,paint,91,train
446,41025,paper,92,train
447,41026,paper,92,train
448,41028,paper,92,train
449,41029,paper,92,train
450,41030,paper,92,train
451,41032,paper,92,train
452,41037,paper,92,train
453,42829,pink,67,train
454,42830,pink,67,train
455,42831,pink,67,train
456,42832,pink,67,train
457,42836,pink,67,train
458,42843,pink,67,train
459,42956,pizza,68,train
460,42958,pizza,68,train
461,42959,pizza,68,train
462,42961,pizza,68,train
463,42966,pizza,68,train
464,42967,pizza,68,train
465,42969,pizza,68,train
466,43167,play,69,train
467,43168,play,69,train
468,43169,play,69,train
469,43170,play,69,train
470,43173,play,69,train
471,43174,play,69,train
472,43179,play,69,train
473,43180,play,69,train
474,45261,pull,93,train
475,45263,pull,93,train
476,45264,pull,93,train
477,45265,pull,93,train
478,45273,pull,93,train
479,45433,purple,94,train
480,45434,purple,94,train
481,45436,purple,94,train
482,45443,purple,94,train
483,48105,right,95,train
484,48106,right,95,train
485,48107,right,95,train
486,48109,right,95,train
487,48114,right,95,train
488,49174,same,96,train
489,49175,same,96,train
490,49178,same,96,train
491,49181,same,96,train
492,49183,same,96,train
493,49188,same,96,train
494,49595,school,70,train
495,49596,school,70,train
496,49597,school,70,train
497,49598,school,70,train
498,49599,school,70,train
499,49600,school,70,train
500,49602,school,70,train
501,50037,secretary,71,train
502,50038,secretary,71,train
503,50039,secretary,71,train
504,50040,secretary,71,train
505,50044,secretary,71,train
506,50045,secretary,71,train
507,50046,secretary,71,train
508,51056,shirt,46,train
509,51057,shirt,46,train
510,51058,shirt,46,train
511,51059,shirt,46,train
512,51060,shirt,46,train
513,51061,shirt,46,train
514,51063,shirt,46,train
515,51064,shirt,46,train
516,51221,short,72,train
517,51223,short,72,train
518,51225,short,72,train
519,51226,short,72,train
520,51231,short,72,train
521,51232,short,72,train
522,51235,short,72,train
523,51236,short,72,train
524,53268,son,97,train
525,53270,son,97,train
526,53271,son,97,train
527,53273,son,97,train
528,53275,son,97,train
529,53279,son,97,train
530,55361,study,47,train
531,55362,study,47,train
532,55363,study,47,train
533,55364,study,47,train
534,55365,study,47,train
535,55366,study,47,train
536,55368,study,47,train
537,55369,study,47,train
538,56556,table,28,train
539,56557,table,28,train
540,56558,table,28,train
541,56563,table,28,train
542,56579,table,28,train
543,56837,tall,48,train
544,56838,tall,48,train
545,56839,tall,48,train
546,56841,tall,48,train
547,56842,tall,48,train
548,56844,tall,48,train
549,56846,tall,48,train
550,56848,tall,48,train
551,56852,tall,48,train
552,57276,tell,98,train
553,57277,tell,98,train
554,57283,tell,98,train
555,57284,tell,98,train
556,57286,tell,98,train
557,57287,tell,98,train
558,57291,tell,98,train
559,57630,thanksgiving,29,train
560,57631,thanksgiving,29,train
561,57632,thanksgiving,29,train
562,57633,thanksgiving,29,train
563,57634,thanksgiving,29,train
564,57635,thanksgiving,29,train
565,57638,thanksgiving,29,train
566,57641,thanksgiving,29,train
567,57647,thanksgiving,29,train
568,57934,thin,14,train
569,57935,thin,14,train
570,57936,thin,14,train
571,57937,thin,14,train
572,57939,thin,14,train
573,57940,thin,14,train
574,57942,thin,14,train
575,57947,thin,14,train
576,57949,thin,14,train
577,57953,thin,14,train
578,58360,thursday,99,train
579,58361,thursday,99,train
580,58362,thursday,99,train
581,58363,thursday,99,train
582,58366,thursday,99,train
583,58498,time,73,train
584,58499,time,73,train
585,58503,time,73,train
586,58508,time,73,train
587,62159,walk,15,train
588,62163,walk,15,train
589,62164,walk,15,train
590,62168,walk,15,train
591,62169,walk,15,train
592,62170,walk,15,train
593,62175,walk,15,train
594,62245,want,74,train
595,62246,want,74,train
596,62248,want,74,train
597,62250,want,74,train
598,62251,want,74,train
599,62259,want,74,train
600,62964,what,30,train
601,62966,what,30,train
602,62968,what,30,train
603,62970,what,30,train
604,62979,what,30,train
605,63200,white,49,train
606,63202,white,49,train
607,63203,white,49,train
608,63204,white,49,train
609,63205,white,49,train
610,63207,white,49,train
611,63208,white,49,train
612,63214,white,49,train
613,63225,who,7,train
614,63227,who,7,train
615,63228,who,7,train
616,63231,who,7,train
617,63232,who,7,train
618,63236,who,7,train
619,63242,who,7,train
620,63665,woman,31,train
621,63666,woman,31,train
622,63667,woman,31,train
623,63668,woman,31,train
624,63672,woman,31,train
625,63673,woman,31,train
626,63679,woman,31,train
627,63790,work,75,train
628,63791,work,75,train
629,63792,work,75,train
630,63793,work,75,train
631,63799,work,75,train
632,63806,work,75,train
633,64084,wrong,50,train
634,64085,wrong,50,train
635,64086,wrong,50,train
636,64087,wrong,50,train
637,64088,wrong,50,train
638,64090,wrong,50,train
639,64091,wrong,50,train
640,64212,year,16,train
641,64213,year,16,train
642,64218,year,16,train
643,64219,year,16,train
644,64224,year,16,train
645,64280,yes,17,train
646,64281,yes,17,train
647,64283,yes,17,train
648,64284,yes,17,train
649,64288,yes,17,train
650,64291,yes,17,train
651,64292,yes,17,train
652,64300,yes,17,train
653,65009,accident,51,train
654,65029,africa,76,train
655,65043,all,18,train
656,65084,apple,52,train
657,65085,apple,52,train
658,65144,basketball,77,train
659,65145,basketball,77,train
660,65161,bed,32,train
661,65162,bed,32,train
662,65167,before,3,train
663,65187,bird,53,train
664,65192,birthday,78,train
665,65200,black,19,train
666,65216,blue,33,train
667,65241,bowling,34,train
668,65242,bowling,34,train
669,65263,brown,79,train
670,65278,but,80,train
671,65298,candy,8,train
672,65299,candy,8,train
673,65328,chair,4,train
674,65362,city,82,train
675,65363,city,82,train
676,65403,cool,20,train
677,65408,corn,56,train
678,65409,corn,56,train
679,65434,dance,58,train
680,65439,dark,59,train
681,65440,dark,59,train
682,65445,deaf,10,train
683,65449,decide,84,train
684,65450,decide,84,train
685,65503,doctor,60,train
686,65504,doctor,60,train
687,65507,dog,36,train
688,65539,drink,1,train
689,65540,drink,1,train
690,65601,eat,61,train
691,65635,enjoy,62,train
692,65677,family,37,train
693,65721,finish,21,train
694,65731,fish,38,train
695,65824,go,5,train
696,65889,help,12,train
697,65890,help,12,train
698,65996,kiss,42,train
699,66007,language,43,train
700,66008,language,43,train
701,66010,last,65,train
702,66014,later,44,train
703,66038,letter,88,train
704,66098,man,45,train
705,66099,man,45,train
706,66146,mother,25,train
707,66147,mother,25,train
708,66183,no,13,train
709,66246,orange,27,train
710,66296,pink,67,train
711,66297,pizza,68,train
712,66351,pull,93,train
713,66355,purple,94,train
714,66441,secretary,71,train
715,66469,short,72,train
716,66531,son,97,train
717,66532,son,97,train
718,66575,study,47,train
719,66592,tall,48,train
720,66606,thin,14,train
721,66637,thursday,99,train
722,66638,thursday,99,train
723,66639,thursday,99,train
724,66640,thursday,99,train
725,66644,time,73,train
726,66742,walk,15,train
727,66743,walk,15,train
728,66769,what,30,train
729,66778,who,7,train
730,66779,who,7,train
731,66798,woman,31,train
732,66799,woman,31,train
733,66804,work,75,train
734,66816,year,16,train
735,66818,year,16,train
736,66820,yes,17,train
737,69206,all,18,train
738,69241,book,0,train
739,69281,cool,20,train
740,69282,corn,56,train
741,69283,cow,57,train
742,69290,dark,59,train
743,69298,dog,36,train
744,69325,fish,38,train
745,69343,give,64,train
746,69430,pink,67,train
747,69534,who,7,train
748,00626,accident,51,val
749,00627,accident,51,val
750,01391,africa,76,val
751,01398,africa,76,val
752,02999,apple,52,val
753,05232,basketball,77,val
754,05239,basketball,77,val
755,05750,before,3,val
756,06330,bird,53,val
757,06476,black,19,val
758,07099,book,0,val
759,07388,bowling,34,val
760,07398,bowling,34,val
761,07973,brown,79,val
762,08426,but,80,val
763,08918,candy,8,val
764,08929,candy,8,val
765,09851,chair,4,val
766,09854,chair,4,val
767,09955,change,54,val
768,09957,change,54,val
769,10151,cheat,81,val
770,10898,city,82,val
771,10904,city,82,val
772,12312,computer,2,val
773,12315,computer,2,val
774,12326,computer,2,val
775,13155,cook,83,val
776,13197,cool,20,val
777,13203,cool,20,val
778,13633,cousin,9,val
779,13634,cousin,9,val
780,13641,cousin,9,val
781,13696,cow,57,val
782,13698,cow,57,val
783,13703,cow,57,val
784,14672,dark,59,val
785,14887,deaf,10,val
786,14903,deaf,10,val
787,15037,decide,84,val
788,15043,decide,84,val
789,17016,doctor,60,val
790,17083,dog,36,val
791,17724,drink,1,val
792,17734,drink,1,val
793,18323,eat,61,val
794,19257,enjoy,62,val
795,21872,fine,11,val
796,21874,fine,11,val
797,21942,finish,21,val
798,21949,finish,21,val
799,22113,fish,38,val
800,22114,fish,38,val
801,23775,full,85,val
802,23776,full,85,val
803,24639,give,64,val
804,24641,give,64,val
805,24946,go,5,val
806,24952,go,5,val
807,25330,graduate,39,val
808,28112,hot,22,val
809,28203,how,86,val
810,30833,jacket,87,val
811,30849,jacket,87,val
812,31751,kiss,42,val
813,32154,language,43,val
814,32156,language,43,val
815,32255,last,65,val
816,32263,last,65,val
817,32320,later,44,val
818,32323,later,44,val
819,32325,later,44,val
820,32948,letter,88,val
821,33268,like,23,val
822,33270,like,23,val
823,37882,need,90,val
824,38533,no,13,val
825,38994,now,26,val
826,39000,now,26,val
827,40118,orange,27,val
828,40835,paint,91,val
829,40840,paint,91,val
830,41027,paper,92,val
831,42833,pink,67,val
832,42962,pizza,68,val
833,42977,pizza,68,val
834,43166,play,69,val
835,45262,pull,93,val
836,45267,pull,93,val
837,45435,purple,94,val
838,45438,purple,94,val
839,48108,right,95,val
840,48124,right,95,val
841,49176,same,96,val
842,49182,same,96,val
843,49606,school,70,val
844,50052,secretary,71,val
845,51067,shirt,46,val
846,51081,shirt,46,val
847,51220,short,72,val
848,51224,short,72,val
849,51227,short,72,val
850,53269,son,97,val
851,53274,son,97,val
852,56840,tall,48,val
853,57282,tell,98,val
854,57285,tell,98,val
855,57628,thanksgiving,29,val
856,57629,thanksgiving,29,val
857,57639,thanksgiving,29,val
858,57933,thin,14,val
859,57948,thin,14,val
860,58365,thursday,99,val
861,58370,thursday,99,val
862,58497,time,73,val
863,62158,walk,15,val
864,62244,want,74,val
865,62965,what,30,val
866,62988,what,30,val
867,63229,who,7,val
868,63230,who,7,val
869,63237,who,7,val
870,63669,woman,31,val
871,63788,work,75,val
872,63795,work,75,val
873,64211,year,16,val
874,64287,yes,17,val
875,65086,apple,52,val
876,65163,bed,32,val
877,65294,can,35,val
878,65341,cheat,81,val
879,65342,cheat,81,val
880,65402,cool,20,val
881,65792,full,85,val
882,65843,graduate,39,val
883,65891,help,12,val
884,66015,later,44,val
885,66097,man,45,val
886,66112,meet,66,val
887,66591,tall,48,val
888,66607,thin,14,val
889,69213,apple,52,val
890,69233,bird,53,val
891,69236,black,19,val
892,69238,blue,33,val
893,69274,color,55,val
894,69302,drink,1,val
895,69307,eat,61,val
896,69316,family,37,val
897,69345,go,5,val
898,69359,hat,40,val
899,69364,help,12,val
900,69368,hot,22,val
901,69395,man,45,val
902,69396,many,24,val
903,69402,mother,25,val
904,69411,no,13,val
905,69413,now,26,val
906,69422,orange,27,val
907,69455,school,70,val
908,69511,time,73,val
909,69524,want,74,val
910,69531,what,30,val
911,69533,white,49,val
912,69546,yes,17,val
913,00625,accident,51,test
914,00634,accident,51,test
915,01386,africa,76,test
916,01986,all,18,test
917,05727,before,3,test
918,05739,before,3,test
919,05741,before,3,test
920,06335,bird,53,test
921,06360,birthday,78,test
922,06845,blue,33,test
923,07400,bowling,34,test
924,08425,but,80,test
925,08429,but,80,test
926,08915,candy,8,test
927,08925,candy,8,test
928,09950,change,54,test
929,10159,cheat,81,test
930,11311,clothes,6,test
931,11772,color,55,test
932,12320,computer,2,test
933,13196,cool,20,test
934,13198,cool,20,test
935,13325,corn,56,test
936,13334,corn,56,test
937,13635,cousin,9,test
938,13710,cow,57,test
939,14673,dark,59,test
940,14685,dark,59,test
941,14883,deaf,10,test
942,14888,deaf,10,test
943,17020,doctor,60,test
944,17097,dog,36,test
945,17713,drink,1,test
946,21890,fine,11,test
947,21944,finish,21,test
948,22117,fish,38,test
949,22954,forget,63,test
950,23767,full,85,test
951,24636,give,64,test
952,24649,give,64,test
953,24960,go,5,test
954,27209,help,12,test
955,27213,help,12,test
956,28201,how,86,test
957,31749,kiss,42,test
958,31750,kiss,42,test
959,32157,language,43,test
960,32167,language,43,test
961,32246,last,65,test
962,32253,last,65,test
963,32950,letter,88,test
964,33286,like,23,test
965,35513,meet,66,test
966,38525,no,13,test
967,38991,now,26,test
968,42960,pizza,68,test
969,43171,play,69,test
970,48115,right,95,test
971,48126,right,95,test
972,49173,same,96,test
973,50041,secretary,71,test
974,51066,shirt,46,test
975,51068,shirt,46,test
976,51233,short,72,test
977,55375,study,47,test
978,56843,tall,48,test
979,57278,tell,98,test
980,57640,thanksgiving,29,test
981,57941,thin,14,test
982,57943,thin,14,test
983,58502,time,73,test
984,62160,walk,15,test
985,62247,want,74,test
986,62967,what,30,test
987,62975,what,30,test
988,62987,what,30,test
989,63201,white,49,test
990,63226,who,7,test
991,63664,woman,31,test
992,63789,work,75,test
993,64097,wrong,50,test
994,64209,year,16,test
995,64210,year,16,test
996,64293,yes,17,test
997,65300,candy,8,test
998,65415,cousin,9,test
999,65506,dog,36,test
1000,65761,forget,63,test
1001,65884,hearing,41,test
1002,66111,medicine,89,test
1003,69225,basketball,77,test
1004,69252,brown,79,test
1005,69257,can,35,test
1006,69269,city,82,test
1007,69370,how,86,test
1008,69389,like,23,test
1009,69431,pizza,68,test
1010,69433,play,69,test
1011,69439,pull,93,test
1012,69440,purple,94,test
